	x	y	cluster
0	12.418882	2.4365833	0
1	8.926195	2.4011388	24
2	9.427501	3.6296036	24
3	3.3338294	4.8954973	6
4	17.59243	13.262374	5
5	6.4342747	9.978303	17
6	-1.6333101	19.58186	31
7	11.094309	-11.262624	41
8	1.4771547	15.022817	6
9	5.4890676	12.049953	5
10	3.6292377	2.4837065	32
11	-3.6745722	17.073467	45
12	-4.713939	-16.761665	47
13	24.791565	11.335959	5
14	3.8407986	4.048021	14
15	2.7019322	12.933568	13
16	4.848467	-0.051655244	29
17	4.166341	1.228478	29
18	-2.450282	14.956438	72
19	18.656153	-9.746725	17
20	1.982496	5.924633	14
21	6.400522	3.1561422	29
22	8.420807	1.8143865	24
23	5.046947	-5.648324	7
24	1.6802211	5.883434	14
25	5.370486	-5.8914375	7
26	3.0672414	4.37054	14
27	25.260347	11.37739	5
28	-5.071378	-3.7115445	48
29	9.892696	-1.5567346	6
30	8.988094	-3.1832495	30
31	9.180052	-2.2636693	30
32	0.83190495	4.156122	29
33	5.1909695	3.876665	29
34	-2.3411555	15.1430025	72
35	1.3904688	7.1270113	14
36	14.568619	2.8253179	6
37	14.610286	3.0705614	6
38	13.73406	-1.494456	12
39	0.33720648	15.630498	49
40	0.2490064	15.142422	49
41	-9.697359	-2.0748236	39
42	0.363238	15.57235	49
43	5.313383	-4.89083	49
44	-4.184222	9.302625	2
45	-4.226608	9.214018	2
46	5.729416	9.698072	17
47	6.6453333	8.5857525	17
48	7.3161435	-1.0597928	6
49	11.720518	11.813876	28
50	0.8019069	-16.44165	47
51	8.939819	3.391158	6
52	9.446135	-1.037112	52
53	9.539423	1.648863	6
54	3.1288126	-4.260633	27
55	5.7553887	7.2071567	33
56	2.3971288	2.1855822	12
57	6.0533776	4.0396776	23
58	17.313711	13.457419	5
59	3.4188051	13.421437	9
60	5.5409026	0.3840123	29
61	9.546522	-3.403557	6
62	-5.2517157	-17.125492	47
63	-6.9750075	-0.058462106	42
64	10.735839	4.052024	3
65	8.097554	-9.031527	18
66	-0.32478985	8.681241	20
67	-12.056561	-3.3663294	1
68	-6.620477	3.3198698	21
